ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,3.6663055419921875,5.961894989013672,2.3834705352783203,3.6663055419921875
2,192.168.0.1,11.628347284653607,16.700267791748047,7.213592529296875,7.96204174266142
3,No Response,803.299279048525,805.5582046508789,802.4342060089111,791.6709317638714
4,No Response,803.644114527209,807.7993392944336,801.8739223480225,792.0157672425554
5,No Response,804.5667533216805,811.316967010498,802.5703430175781,792.9384060370269
6,No Response,805.9076605171992,869.0383434295654,802.4411201477051,794.2793132325456
7,181.89.2.119,26.37186845143636,54.36110496520996,15.550374984741211,14.743521166782752
8,185.70.203.22,22.83949851989746,53.54046821594238,13.808012008666992,0
9,No Response,804.6630415423163,813.7936592102051,802.5074005126953,781.8235430224188
10,149.3.181.65,50.761755307515465,79.00547981262207,40.77959060668945,27.922256787618004
11,129.250.2.196,157.3383092880249,178.46059799194336,147.40920066833496,106.57655398050943
12,129.250.3.134,157.11926619211832,204.5602798461914,147.19271659851074,0
13,129.250.2.219,254.58978017171225,281.68630599975586,226.54008865356445,97.47051397959393
14,129.250.4.178,201.80039405822754,232.63931274414062,193.99261474609375,0
15,168.143.228.95,225.32266775767008,250.58293342590332,200.20294189453125,23.522273699442536
16,No Response,803.6871449700717,806.1575889587402,802.3474216461182,578.3644772124017
17,148.62.41.103,200.47512849171957,208.47463607788086,196.31290435791016,0
18,148.62.41.125,183.0679416656494,190.14620780944824,177.5658130645752,0
19,98.129.84.193,191.15143616994223,203.32050323486328,184.8745346069336,8.083494504292815
20,104.130.124.11,252.8881072998047,269.8965072631836,236.69695854187012,61.73667112986246
