ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,6.2395890553792315,15.798807144165039,3.210306167602539,6.2395890553792315
2,192.168.0.1,16.08447467579561,48.12955856323242,7.898569107055664,9.844885620416381
3,No Response,804.8411977702174,818.4022903442383,802.1304607391357,788.7567230944218
4,No Response,804.9534682569832,818.6285495758057,802.3941516876221,788.8689935811876
5,No Response,806.4750309648185,821.042537689209,802.0639419555664,790.3905562890229
6,No Response,805.8129507919838,844.9609279632568,802.6206493377686,789.7284761161882
7,181.89.2.119,25.020853678385418,46.39601707458496,17.114639282226562,8.936379002589806
8,No Response,804.0797217138883,815.4354095458984,802.4125099182129,779.0588680355029
9,181.96.120.63,25.089367230733234,55.24444580078125,17.518997192382812,0.06851355234781664
10,No Response,803.701376092845,813.4925365447998,802.1495342254639,778.6120088621117
11,67.17.94.249,145.86060841878256,155.67564964294434,140.20657539367676,120.77124118804933
12,No Response,803.5894348507836,805.4087162017822,802.5705814361572,657.728826432001
13,No Response,803.6296455948441,809.6911907196045,802.4871349334717,657.7690371760615
14,209.51.163.209,228.35882504781088,246.9630241394043,206.3729763031006,82.49821662902832
15,184.105.213.25,171.1357831954956,185.03952026367188,165.0400161743164,0
16,184.105.65.154,176.3436476389567,182.6465129852295,170.16935348510742,5.207864443461091
17,184.105.65.149,186.11116409301758,191.2820339202881,180.00459671020508,9.767516454060882
18,184.105.65.181,186.56993707021078,196.87461853027344,180.495023727417,0.4587729771932061
19,184.104.192.118,187.1233860651652,193.8488483428955,180.863618850708,0.5534489949544081
20,184.105.80.6,199.11162853240967,206.27164840698242,190.79208374023438,11.988242467244476
21,216.66.30.114,203.56853802998862,212.23139762878418,196.486234664917,4.456909497578948
22,205.211.94.134,202.43887106577554,207.200288772583,197.7250576019287,0
23,No Response,803.7128859552844,808.0146312713623,802.0033836364746,601.2740148895089
24,No Response,804.5643280292379,833.5888385772705,802.4206161499023,602.1254569634624
25,No Response,804.3450898137586,813.7562274932861,802.302360534668,601.9062187479831
26,128.100.166.120,201.41055583953857,213.9294147491455,195.6338882446289,0

