ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,3.96732489267985,9.156465530395508,2.261638641357422,3.96732489267985
2,192.168.0.1,13.079418855554918,18.055438995361328,9.179115295410156,9.112093962875068
3,No Response,803.6099055717731,809.9851608276367,802.466630935669,790.5304867162182
4,No Response,803.9847077994511,817.1987533569336,802.2141456604004,790.9052889438963
5,No Response,804.4099067819529,831.9423198699951,802.5331497192383,791.3304879263981
6,No Response,803.4045285192029,805.7072162628174,801.8865585327148,790.325109663648
7,181.89.2.119,25.505924224853516,48.32005500793457,18.601179122924805,12.426505369298598
8,No Response,803.3981487668793,805.5968284606934,802.112340927124,777.8922245420258
9,181.89.2.125,26.670432090759277,56.330204010009766,16.175270080566406,1.1645078659057617
10,No Response,803.5168976619326,807.2867393493652,802.4828433990479,776.8464655711733
11,67.17.99.233,148.56698513031006,169.78144645690918,144.23227310180664,121.89655303955078
12,No Response,803.444766998291,807.8780174255371,802.3946285247803,654.877781867981
13,No Response,804.1707788194929,815.7987594604492,802.71315574646,655.6037936891828
14,4.68.72.230,198.5036532084147,214.08319473266602,193.0828094482422,49.936668078104645
15,No Response,803.8867753127525,812.3841285705566,802.2799491882324,605.3831221043379
16,No Response,803.0916411301185,804.7139644622803,801.5730381011963,604.5879879217039
17,No Response,804.2485385105527,819.7667598724365,802.4499416351318,605.7448853021381
18,No Response,803.988950005893,806.7896366119385,802.4365901947021,605.4852967974783
19,No Response,803.5729013640305,808.1331253051758,802.5646209716797,605.0692481556158
20,No Response,803.9154677555479,811.7947578430176,802.1829128265381,605.4118145471332
21,No Response,803.8954817015549,809.859037399292,802.4003505706787,605.3918284931402
22,84.88.18.18,273.995574315389,446.11597061157227,261.8725299835205,75.49192110697427
23,No Response,803.7395395081619,811.2704753875732,802.2267818450928,529.743965192773
24,No Response,804.1611868759682,811.7635250091553,802.5610446929932,530.1656125605791
25,No Response,803.5641949752281,806.2739372253418,802.5226593017578,529.5686206598391
26,147.83.201.74,265.8847256710655,274.4271755218506,260.237455368042,0
27,No Response,803.4608857385043,806.8356513977051,802.5908470153809,537.5761600674389
28,147.83.2.135,269.15494600931805,322.57986068725586,261.0185146331787,3.2702203382525568
