ttl,ip,promedio,max,min,intersalto
1,10.0.2.2,48.52595329284668,85.02435684204102,34.75165367126465,48.52595329284668
2,192.168.0.1,52.705189760993505,65.66476821899414,42.188405990600586,4.179236468146826
3,10.80.160.1,63.05952072143555,135.6222629547119,48.08640480041504,10.354330960442041
4,10.101.3.189,66.9992208480835,196.4108943939209,50.332069396972656,3.939700126647949
5,181.89.50.232,64.23815886179607,85.82091331481934,54.90231513977051,0
6,No Response,851.2563458804426,894.3281173706055,838.2797241210938,787.0181870186466
7,181.96.120.69,66.31986300150554,82.9763412475586,54.6717643737793,2.0817041397094727
8,No Response,864.0106382041142,1135.326623916626,838.7508392333984,797.6907752026087
9,181.89.2.125,65.97998142242432,83.0838680267334,54.71920967102051,0
10,No Response,846.6128877231052,872.6444244384766,833.7218761444092,780.6329063006809
11,67.17.94.249,199.2515722910563,282.6554775238037,182.51752853393555,133.271590868632
12,No Response,852.1896743774414,902.9960632324219,836.0300064086914,652.9381020863851
13,No Response,853.9128303527832,935.3539943695068,838.5953903198242,654.6612580617269
14,4.7.26.70,250.36316712697348,263.6685371398926,238.53254318237305,51.111594835917174
15,203.181.106.185,258.1230004628499,291.43595695495605,242.91634559631348,7.759833335876436
16,106.187.12.1,360.60593128204346,378.39627265930176,346.8751907348633,102.48293081919354
17,27.86.46.93,365.26304880777997,582.9958915710449,345.9784984588623,4.65711752573651
18,27.86.32.10,366.10426902770996,417.0949459075928,347.1055030822754,0.8412202199299941
19,124.211.10.74,362.7561966578166,384.1383457183838,350.01206398010254,0
20,No Response,848.6211382109543,886.8706226348877,838.1397724151611,485.8649415531377
21,No Response,850.3609361319707,900.5842208862305,837.531566619873,487.6047394741541
22,No Response,849.7417301967226,895.4155445098877,830.3713798522949,486.98553353890605
23,No Response,852.6521962264488,914.4973754882812,834.8371982574463,489.89599956863225
24,153.125.233.90,355.0697247187297,374.10473823547363,342.41509437561035,0
25,153.125.233.90,361.66508197784424,384.4418525695801,350.44312477111816,6.595357259114564
26,153.125.233.90,368.48130226135254,457.74054527282715,343.1413173675537,6.816220283508301
27,153.125.233.90,360.1995547612508,381.5045356750488,342.7596092224121,0
28,153.125.233.90,355.24217287699383,369.4016933441162,341.4170742034912,0
29,153.125.233.90,356.4974864323934,394.26231384277344,346.5769290924072,1.255313555399539
