ttl,ip,promedio,max,min,intersalto
1,192.168.64.1,2.2643566131591797,3.9281845092773438,1.5575885772705078,2.2643566131591797
2,192.168.0.1,11.237172519459444,13.597249984741211,5.280494689941406,8.972815906300264
3,No Response,801.8816257345266,802.8876781463623,801.5029430389404,790.6444532150671
4,No Response,802.013323224824,802.3660182952881,801.5050888061523,790.7761507053646
5,No Response,803.2057696375354,838.0565643310547,801.4063835144043,791.9685971180759
6,No Response,801.993493376107,802.5164604187012,801.4743328094482,790.7563208566476
7,181.89.2.119,23.887968063354492,39.73960876464844,17.660140991210938,12.650795543895049
8,185.70.203.22,19.802316029866535,26.259899139404297,16.146183013916016,0
9,No Response,802.024874193915,804.4109344482422,801.5780448913574,782.2225581640485
10,4.68.71.225,162.48684724171957,208.0092430114746,152.1456241607666,142.68453121185303
11,No Response,801.9847978245128,802.5543689727783,801.5904426574707,639.4979505827932
12,4.35.156.66,195.7974910736084,199.5565891265869,192.01183319091797,33.310643831888825
13,137.164.11.7,203.8044532140096,229.54511642456055,197.26133346557617,8.006962140401214
14,No Response,801.9578703518572,802.4137020111084,801.396369934082,598.1534171378476
15,169.232.4.4,203.42381795247397,208.94360542297363,199.62215423583984,0
16,169.232.8.181,197.46867020924887,202.8958797454834,190.02199172973633,0
