ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,3.6115090052286782,5.789279937744141,2.533435821533203,3.6115090052286782
2,192.168.0.1,13.207092881202698,19.37413215637207,9.958505630493164,9.59558387597402
3,No Response,803.783211214789,807.9726696014404,802.4604320526123,790.5761183335864
4,No Response,804.4105069390658,833.594799041748,801.9261360168457,791.2034140578631
5,No Response,803.3895903620227,806.999921798706,801.9640445709229,790.18249748082
6,No Response,803.0455030243972,807.3289394378662,801.9142150878906,789.8384101431946
7,181.89.2.119,24.185601870218914,31.48627281188965,19.994020462036133,10.978508989016216
8,190.216.88.1,20.051883614581563,26.093244552612305,14.36471939086914,0
9,67.17.94.249,145.71154912312826,150.7885456085205,139.76645469665527,125.65966550854671
10,No Response,803.3556838830312,804.6083450317383,802.3955821990967,657.644134759903
11,4.69.158.253,284.25969282786053,306.98132514953613,277.8303623199463,138.54814370473227
12,213.249.107.166,303.7708486829485,461.7776870727539,279.1180610656738,19.511155855087964
13,185.141.124.40,295.01171112060547,302.5529384613037,289.69740867614746,0
14,194.85.40.202,303.70655059814453,307.4150085449219,299.0543842315674,8.694839477539062
15,194.190.254.118,304.4923146565755,310.35757064819336,297.67513275146484,0.7857640584309706
16,93.180.0.191,302.6704470316569,309.1099262237549,295.81189155578613,0
17,188.44.50.103,303.28460534413654,307.30390548706055,299.23176765441895,0.614158312479617
