ttl,ip,promedio,max,min,intersalto
1,192.168.64.1,4.169384638468425,9.623050689697266,2.4306774139404297,4.169384638468425
2,192.168.0.1,12.740766300874597,17.300844192504883,9.110212326049805,8.571381662406171
3,No Response,803.2145500183105,806.9291114807129,801.9866943359375,790.4737837174359
4,No Response,803.0801148250185,803.8949966430664,802.1814823150635,790.3393485241439
5,No Response,803.7777358088,808.7444305419922,802.3819923400879,791.0369695079254
6,No Response,804.4157192624848,830.5156230926514,802.3130893707275,791.6749529616102
7,181.89.2.119,23.5198179880778,32.41896629333496,17.24076271057129,10.779051687203204
8,190.216.88.1,19.68336988378454,23.183584213256836,14.634132385253906,0
9,67.17.94.249,145.13695240020752,153.06973457336426,139.12510871887207,125.45358251642298
10,No Response,804.037196295602,819.3035125732422,801.7504215240479,658.9002438953945
11,No Response,803.5862281404693,808.1245422363281,802.438497543335,658.4492757402618
12,216.98.100.233,164.8948589960734,175.7800579071045,158.19525718688965,19.757906595865876
13,58.138.80.138,193.71031125386557,199.36490058898926,186.56110763549805,28.815452257792174
14,58.138.88.113,325.15772183736163,330.0595283508301,319.57221031188965,131.44741058349607
15,58.138.106.162,308.62565835316974,332.9048156738281,301.8035888671875,0
16,210.130.135.130,315.9613847732544,334.20729637145996,308.9578151702881,7.335726420084654
17,124.83.228.58,325.7800579071045,339.9369716644287,317.7917003631592,9.818673133850098
18,124.83.252.178,330.63197135925293,352.5724411010742,322.5395679473877,4.8519134521484375
19,158.205.134.26,321.44172191619873,355.90338706970215,314.06402587890625,0
20,No Response,801.7489416845914,803.2681941986084,801.3467788696289,480.30721976839266
21,No Response,801.7111811144598,802.0844459533691,801.4349937438965,480.2694591982611
22,No Response,801.6896330077072,802.3855686187744,801.4945983886719,480.2479110915085
23,No Response,801.8367372710129,802.4640083312988,801.4891147613525,480.3950153548142
24,No Response,801.8932178102691,802.7293682098389,801.4304637908936,480.4514958940704
25,No Response,801.7548774850779,802.2823333740234,801.4402389526367,480.3131555688792
26,No Response,801.954170753216,803.7824630737305,801.5413284301758,480.51244883701725
27,No Response,801.6622148711106,802.1221160888672,801.3889789581299,480.22049295491183
28,No Response,801.676972159024,803.4367561340332,801.3372421264648,480.23525024282526
29,No Response,801.7101945548222,802.107572555542,801.4006614685059,480.2684726386235
30,No Response,801.6847248735099,802.316427230835,801.3975620269775,480.2430029573112
31,No Response,801.8128378637906,803.5058975219727,801.3331890106201,480.3711159475919
32,No Response,801.6635385052912,802.1557331085205,801.398515701294,480.22181658909244
33,No Response,801.7012744114317,802.1674156188965,801.405668258667,480.2595524952329
34,No Response,801.7180788105932,802.2408485412598,801.4237880706787,480.27635689439444
35,No Response,802.0556055266281,804.0182590484619,801.445484161377,480.6138836104294
36,No Response,804.3464874399119,819.6027278900146,802.1140098571777,482.9047655237132
37,No Response,803.778599048483,813.7631416320801,802.3231029510498,482.33687713228426
38,No Response,803.3702784571154,806.3406944274902,802.16383934021,481.9285565409167
39,No Response,803.7097700710955,808.4120750427246,802.3686408996582,482.26804815489675
40,No Response,803.4636152201685,808.5558414459229,802.3755550384521,482.0218933039698
41,No Response,803.2918962939032,805.466890335083,802.595853805542,481.85017437770443
42,No Response,803.64623563043,808.0854415893555,802.0825386047363,482.2045137142313
43,No Response,803.482828469112,807.6069355010986,802.3271560668945,482.0411065529132
44,No Response,803.1317530007198,804.0645122528076,802.0734786987305,481.690031084521
45,No Response,803.505461791466,807.0979118347168,802.3271560668945,482.0637398752673
46,No Response,804.0192373867693,819.1094398498535,802.1721839904785,482.5775154705706
47,No Response,803.2407925046723,805.8326244354248,802.4747371673584,481.79907058847357
48,No Response,803.6998140400854,811.0816478729248,802.4775981903076,482.2580921238866
49,No Response,803.2625543660131,807.7089786529541,802.5150299072266,481.82083244981436
