ttl,ip,promedio,max,min,intersalto
1,172.21.16.1,4.176680246988933,6.6013336181640625,2.490997314453125,4.176680246988933
2,192.168.0.1,14.40905122195973,25.869131088256836,7.681369781494141,10.232370974970799
3,No Response,803.319133561233,805.030345916748,802.199125289917,788.9100823392732
4,No Response,803.2354733039593,805.1934242248535,802.2952079772949,788.8264220819996
5,No Response,803.2878020714069,807.056188583374,802.4129867553711,788.8787508494471
6,No Response,804.4532660780282,830.1658630371094,802.6063442230225,790.0442148560684
7,181.89.2.119,23.355952898661297,32.033443450927734,16.829490661621094,8.946901676701566
8,190.216.88.1,20.389993985493977,26.10182762145996,12.745380401611328,0
9,67.17.94.249,146.08582655588785,153.56945991516113,139.27531242370605,125.69583257039388
10,No Response,803.7391952846361,806.6246509552002,802.6924133300781,657.6533687287483
11,No Response,803.2258323260716,804.8820495605469,802.1769523620605,657.1400057701837
12,216.98.100.233,190.29564062754312,194.65923309326172,184.54861640930176,44.20981407165527
13,58.138.80.138,289.78572686513263,306.49423599243164,276.3550281524658,99.49008623758951
14,58.138.88.113,325.0407854715983,333.56213569641113,320.16873359680176,35.255058606465695
15,58.138.106.162,397.25697835286456,417.1144962310791,372.1933364868164,72.21619288126624
16,210.130.135.130,315.89986483256024,335.4156017303467,309.07440185546875,0
17,124.83.228.58,327.3129065831502,336.5027904510498,321.61951065063477,11.413041750589969
18,124.83.252.178,332.45787620544434,345.3817367553711,326.3840675354004,5.144969622294127
19,158.205.134.26,322.4981387456258,337.4631404876709,314.0909671783447,0
20,No Response,803.8105964660645,811.7475509643555,802.2961616516113,481.31245772043866
