port,protocolo,estado,flags
1,tcp,cerrado,
1,udp,filtrado,
2,tcp,cerrado,
2,udp,filtrado,
3,tcp,cerrado,
3,udp,filtrado,
4,tcp,cerrado,
4,udp,filtrado,
5,tcp,filtrado,
5,udp,filtrado,
6,tcp,filtrado,
6,udp,filtrado,
7,tcp,cerrado,
7,udp,abierto|filtrado,
8,tcp,cerrado,
8,udp,abierto|filtrado,
9,tcp,cerrado,
9,udp,filtrado,
10,tcp,filtrado,
10,udp,filtrado,
11,tcp,filtrado,
11,udp,filtrado,
12,tcp,cerrado,
12,udp,abierto|filtrado,
13,tcp,cerrado,
13,udp,abierto|filtrado,
14,tcp,cerrado,
14,udp,filtrado,
15,tcp,filtrado,
15,udp,filtrado,
16,tcp,filtrado,
16,udp,filtrado,
17,tcp,cerrado,
17,udp,abierto|filtrado,
18,tcp,cerrado,
18,udp,abierto|filtrado,
19,tcp,cerrado,
19,udp,filtrado,
20,tcp,filtrado,
20,udp,filtrado,
21,tcp,filtrado,
21,udp,filtrado,
22,tcp,abierto,SA
22,udp,filtrado,
23,tcp,cerrado,
23,udp,filtrado,
24,tcp,filtrado,
24,udp,filtrado,
25,tcp,cerrado,
25,udp,abierto|filtrado,
26,tcp,cerrado,
26,udp,abierto|filtrado,
27,tcp,cerrado,
27,udp,filtrado,
28,tcp,filtrado,
28,udp,filtrado,
29,tcp,filtrado,
29,udp,filtrado,
30,tcp,cerrado,
30,udp,abierto|filtrado,
31,tcp,cerrado,
31,udp,abierto|filtrado,
32,tcp,cerrado,
32,udp,abierto|filtrado,
33,tcp,cerrado,
33,udp,abierto|filtrado,
34,tcp,cerrado,
34,udp,abierto|filtrado,
35,tcp,cerrado,
35,udp,filtrado,
36,tcp,filtrado,
36,udp,filtrado,
37,tcp,filtrado,
37,udp,filtrado,
38,tcp,cerrado,
38,udp,abierto|filtrado,
39,tcp,cerrado,
39,udp,abierto|filtrado,
40,tcp,cerrado,
40,udp,filtrado,
41,tcp,filtrado,
41,udp,filtrado,
42,tcp,filtrado,
42,udp,filtrado,
43,tcp,cerrado,
43,udp,abierto|filtrado,
44,tcp,cerrado,
44,udp,abierto|filtrado,
45,tcp,cerrado,
45,udp,filtrado,
46,tcp,filtrado,
46,udp,filtrado,
47,tcp,filtrado,
47,udp,filtrado,
48,tcp,cerrado,
48,udp,abierto|filtrado,
49,tcp,cerrado,
49,udp,abierto|filtrado,
50,tcp,cerrado,
50,udp,filtrado,
51,tcp,filtrado,
51,udp,filtrado,
52,tcp,filtrado,
52,udp,filtrado,
53,tcp,cerrado,
53,udp,abierto|filtrado,
54,tcp,cerrado,
54,udp,abierto|filtrado,
55,tcp,cerrado,
55,udp,filtrado,
56,tcp,filtrado,
56,udp,filtrado,
57,tcp,filtrado,
57,udp,filtrado,
58,tcp,filtrado,
58,udp,filtrado,
59,tcp,filtrado,
59,udp,filtrado,
60,tcp,filtrado,
60,udp,filtrado,
61,tcp,cerrado,
61,udp,abierto|filtrado,
62,tcp,cerrado,
62,udp,abierto|filtrado,
63,tcp,cerrado,
63,udp,filtrado,
64,tcp,filtrado,
64,udp,filtrado,
65,tcp,filtrado,
65,udp,filtrado,
66,tcp,cerrado,
66,udp,abierto|filtrado,
67,tcp,cerrado,
67,udp,abierto|filtrado,
68,tcp,cerrado,
68,udp,filtrado,
69,tcp,filtrado,
69,udp,filtrado,
70,tcp,filtrado,
70,udp,filtrado,
71,tcp,cerrado,
71,udp,abierto|filtrado,
72,tcp,cerrado,
72,udp,abierto|filtrado,
73,tcp,cerrado,
73,udp,filtrado,
74,tcp,filtrado,
74,udp,filtrado,
75,tcp,filtrado,
75,udp,filtrado,
76,tcp,cerrado,
76,udp,abierto|filtrado,
77,tcp,cerrado,
77,udp,abierto|filtrado,
78,tcp,cerrado,
78,udp,filtrado,
79,tcp,filtrado,
79,udp,filtrado,
80,tcp,abierto,SA
80,udp,filtrado,
81,tcp,cerrado,
81,udp,abierto|filtrado,
82,tcp,cerrado,
82,udp,filtrado,
83,tcp,filtrado,
83,udp,filtrado,
84,tcp,filtrado,
84,udp,filtrado,
85,tcp,filtrado,
85,udp,filtrado,
86,tcp,cerrado,
86,udp,abierto|filtrado,
87,tcp,cerrado,
87,udp,abierto|filtrado,
88,tcp,cerrado,
88,udp,filtrado,
89,tcp,filtrado,
89,udp,filtrado,
90,tcp,filtrado,
90,udp,filtrado,
91,tcp,cerrado,
91,udp,abierto|filtrado,
92,tcp,cerrado,
92,udp,abierto|filtrado,
93,tcp,cerrado,
93,udp,filtrado,
94,tcp,filtrado,
94,udp,filtrado,
95,tcp,filtrado,
95,udp,filtrado,
96,tcp,cerrado,
96,udp,abierto|filtrado,
97,tcp,cerrado,
97,udp,abierto|filtrado,
98,tcp,cerrado,
98,udp,filtrado,
99,tcp,filtrado,
99,udp,filtrado,
100,tcp,filtrado,
100,udp,filtrado,
101,tcp,cerrado,
101,udp,abierto|filtrado,
102,tcp,cerrado,
102,udp,abierto|filtrado,
103,tcp,cerrado,
103,udp,filtrado,
104,tcp,filtrado,
104,udp,filtrado,
105,tcp,filtrado,
105,udp,filtrado,
106,tcp,cerrado,
106,udp,abierto|filtrado,
107,tcp,cerrado,
107,udp,abierto|filtrado,
108,tcp,cerrado,
108,udp,filtrado,
109,tcp,filtrado,
109,udp,filtrado,
110,tcp,filtrado,
110,udp,filtrado,
111,tcp,cerrado,
111,udp,abierto|filtrado,
112,tcp,cerrado,
112,udp,abierto|filtrado,
113,tcp,cerrado,
113,udp,filtrado,
114,tcp,filtrado,
114,udp,filtrado,
115,tcp,filtrado,
115,udp,filtrado,
116,tcp,cerrado,
116,udp,abierto|filtrado,
117,tcp,cerrado,
117,udp,filtrado,
118,tcp,filtrado,
118,udp,filtrado,
119,tcp,filtrado,
119,udp,filtrado,
120,tcp,cerrado,
120,udp,abierto|filtrado,
121,tcp,cerrado,
121,udp,abierto|filtrado,
122,tcp,cerrado,
122,udp,filtrado,
123,tcp,filtrado,
123,udp,filtrado,
124,tcp,filtrado,
124,udp,filtrado,
125,tcp,cerrado,
125,udp,abierto|filtrado,
126,tcp,cerrado,
126,udp,abierto|filtrado,
127,tcp,cerrado,
127,udp,filtrado,
128,tcp,filtrado,
128,udp,filtrado,
129,tcp,filtrado,
129,udp,filtrado,
130,tcp,cerrado,
130,udp,abierto|filtrado,
131,tcp,cerrado,
131,udp,abierto|filtrado,
132,tcp,cerrado,
132,udp,filtrado,
133,tcp,filtrado,
133,udp,filtrado,
134,tcp,filtrado,
134,udp,filtrado,
135,tcp,filtrado,
135,udp,abierto|filtrado,
136,tcp,cerrado,
136,udp,filtrado,
137,tcp,filtrado,
137,udp,abierto|filtrado,
138,tcp,filtrado,
138,udp,abierto|filtrado,
139,tcp,filtrado,
139,udp,abierto|filtrado,
140,tcp,cerrado,
140,udp,filtrado,
141,tcp,cerrado,
141,udp,filtrado,
142,tcp,cerrado,
142,udp,filtrado,
143,tcp,cerrado,
143,udp,filtrado,
144,tcp,filtrado,
144,udp,filtrado,
145,tcp,filtrado,
145,udp,filtrado,
146,tcp,cerrado,
146,udp,abierto|filtrado,
147,tcp,cerrado,
147,udp,abierto|filtrado,
148,tcp,cerrado,
148,udp,filtrado,
149,tcp,filtrado,
149,udp,filtrado,
150,tcp,filtrado,
150,udp,filtrado,
151,tcp,cerrado,
151,udp,abierto|filtrado,
152,tcp,cerrado,
152,udp,abierto|filtrado,
153,tcp,cerrado,
153,udp,filtrado,
154,tcp,filtrado,
154,udp,filtrado,
155,tcp,filtrado,
155,udp,filtrado,
156,tcp,cerrado,
156,udp,abierto|filtrado,
157,tcp,cerrado,
157,udp,abierto|filtrado,
158,tcp,cerrado,
158,udp,filtrado,
159,tcp,filtrado,
159,udp,filtrado,
160,tcp,filtrado,
160,udp,filtrado,
161,tcp,cerrado,
161,udp,abierto|filtrado,
162,tcp,cerrado,
162,udp,abierto|filtrado,
163,tcp,cerrado,
163,udp,filtrado,
164,tcp,cerrado,
164,udp,filtrado,
165,tcp,cerrado,
165,udp,filtrado,
166,tcp,cerrado,
166,udp,filtrado,
167,tcp,filtrado,
167,udp,filtrado,
168,tcp,filtrado,
168,udp,filtrado,
169,tcp,cerrado,
169,udp,abierto|filtrado,
